State,Current_Race,Future_Race
ALABAMA,Black alone,
ALASKA,Hispanic,
ARIZONA,Black alone,
ARKANSAS,White alone,
CALIFORNIA,Black alone,
COLORADO,Black alone,
CONNECTICUT,Black alone,
DELAWARE,Hispanic,
DISTRICT OF COLUMBIA,Black alone,
FLORIDA,White alone,
GEORGIA,Black alone,
HAWAII,Hispanic,
IDAHO,Black alone,
ILLINOIS,Black alone,
INDIANA,Black alone,
IOWA,Black alone,
KANSAS,Black alone,
KENTUCKY,Black alone,
LOUISIANA,Black alone,
MAINE,Black alone,
MARYLAND,Black alone,
MASSACHUSETTS,Black alone,
MICHIGAN,Black alone,
MINNESOTA,Black alone,
MISSISSIPPI,Black alone,
MISSOURI,Black alone,
MONTANA,Hispanic,
NEBRASKA,Black alone,
NEVADA,Black alone,
NEW HAMPSHIRE,Hispanic,
NEW JERSEY,Black alone,
NEW MEXICO,Hispanic,
NEW YORK,Black alone,
NORTH CAROLINA,Black alone,
NORTH DAKOTA,Hispanic,
OHIO,Black alone,
OKLAHOMA,Black alone,
OREGON,Black alone,
PENNSYLVANIA,Black alone,
RHODE ISLAND,Black alone,
SOUTH CAROLINA,Black alone,
SOUTH DAKOTA,Hispanic,
TENNESSEE,Black alone,
TEXAS,Black alone,
UNITED STATES,Black alone,Hispanic
UTAH,Black alone,
VERMONT,Hispanic,
VIRGINIA,Black alone,
WASHINGTON,White alone,
WEST VIRGINIA,Black alone,
WISCONSIN,Hispanic,
WYOMING,Black alone,
