State,Race,Total Population,Total Citizen,Total Registered,Percent Total Registered,Margin of Error Total Registered,Percent Citizen Registered ,Margin of Error Percent Citizen Registered,Total Voted,Percent Total Voted,Margin of Error Total Voted,Percent Voted Citizen,Margin of Error Voted Citizen,Year,Current_Predicted_Race,Future_Predicted_Race
UNITED STATES,White alone,192129,177865,127463,66.3,0.3,71.7,0.3,111891,58.2,0.3,62.9,0.4,2016,White alone,Hispanic
UNITED STATES,Black alone,30608,28808,19984,65.3,1,69.4,1,17119,55.9,1.1,59.4,1.1,2016,White alone,
UNITED STATES,Asian alone,14881,10283,5785,38.9,1.6,56.3,1.9,5043,33.9,1.5,49,1.9,2016,Hispanic,
UNITED STATES,Hispanic,38990,26662,15267,39.2,1.2,57.3,1.5,12682,32.5,1.1,47.6,1.5,2016,Hispanic,
ALABAMA,White alone,2633,2604,1772,67.3,3,68,3,1465,55.6,3.2,56.2,3.2,2016,White alone,
ALABAMA,Black alone,962,953,694,72.2,5.7,72.8,5.7,579,60.2,6.2,60.8,6.3,2016,White alone,
ALABAMA,Asian alone,27,10,3,B,B,B,B,3,B,B,B,B,2016,,
ALABAMA,Hispanic,117,83,32,B,B,B,B,27,B,B,B,B,2016,,
ALASKA,White alone,346,340,261,75.5,3,76.8,3,234,67.7,3.3,68.9,3.3,2016,White alone,
ALASKA,Black alone,17,17,10,B,B,B,B,8,B,B,B,B,2016,,
ALASKA,Asian alone,27,19,9,B,B,B,B,8,B,B,B,B,2016,,
ALASKA,Hispanic,24,23,17,B,B,B,B,17,B,B,B,B,2016,,
ARIZONA,White alone,4471,3950,2773,62,2.4,70.2,2.4,2480,55.5,2.5,62.8,2.5,2016,White alone,
ARIZONA,Black alone,252,237,165,65.6,12,69.8,12,121,47.9,12.6,50.9,13,2016,White alone,
ARIZONA,Asian alone,169,108,69,40.6,15.8,63.3,19.4,56,33.1,15.2,51.6,20.1,2016,Hispanic,
ARIZONA,Hispanic,1613,1145,654,40.5,6.4,57.1,7.6,543,33.7,6.1,47.4,7.7,2016,Hispanic,
ARKANSAS,White alone,1822,1749,1196,65.6,2.9,68.4,2.9,1032,56.7,3.1,59,3.1,2016,White alone,
ARKANSAS,Black alone,321,316,231,71.9,8,73,7.9,186,57.9,8.8,58.8,8.8,2016,White alone,
ARKANSAS,Asian alone,36,16,6,B,B,B,B,6,B,B,B,B,2016,,
ARKANSAS,Hispanic,135,77,29,B,B,B,B,24,B,B,B,B,2016,,
CALIFORNIA,White alone,21592,18104,12084,56,1.1,66.7,1.2,10908,50.5,1.1,60.3,1.2,2016,White alone,
CALIFORNIA,Black alone,1849,1768,1018,55,4.6,57.6,4.7,856,46.3,4.7,48.4,4.8,2016,White alone,
CALIFORNIA,Asian alone,4838,3585,2080,43,3,58,3.5,1859,38.4,2.9,51.9,3.5,2016,Black alone,
CALIFORNIA,Hispanic,10221,7092,3882,38,2.5,54.7,3.1,3345,32.7,2.4,47.2,3.1,2016,Hispanic,
COLORADO,White alone,3743,3517,2663,71.2,2.5,75.7,2.4,2494,66.6,2.6,70.9,2.5,2016,White alone,
COLORADO,Black alone,185,167,124,67,13.9,74.1,13.7,124,67,13.9,74.1,13.7,2016,White alone,
COLORADO,Asian alone,170,104,39,22.7,13.5,37,19.9,35,20.5,13,33.4,19.4,2016,Hispanic,
COLORADO,Hispanic,633,426,272,42.9,10.3,63.8,12.2,237,37.4,10.1,55.6,12.6,2016,Black alone,
CONNECTICUT,White alone,2258,2090,1538,68.1,2.8,73.6,2.8,1378,61,3,65.9,3,2016,White alone,
