Current_Race,Future_Race,Current_Rank,Future_Rank
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
White alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
White alone,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
Black alone,,1.0,
Black alone,Hispanic,1.0,1.0
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
White alone,,1.0,
Black alone,,1.0,
Hispanic,,1.0,
Black alone,,1.0,
